code,character,code_length
&CounterClockwiseContourIntegral;,∳,33
&DoubleLongLeftRightArrow;,⟺,26
&ClockwiseContourIntegral;,∲,26
&NotNestedGreaterGreater;,⪢̸,25
&NotSquareSupersetEqual;,⋣,24
&DiacriticalDoubleAcute;,˝,24
&NotPrecedesSlantEqual;,⋠,23
&FilledVerySmallSquare;,▪,23
&NegativeVeryThinSpace;,​,23
&NotSucceedsSlantEqual;,⋡,23
&DoubleContourIntegral;,∯,23
&CloseCurlyDoubleQuote;,”,23
&NotRightTriangleEqual;,⋭,23
&OpenCurlyDoubleQuote;,“,22
&NotLeftTriangleEqual;,⋬,22
&DoubleLeftRightArrow;,⇔,22
&NotGreaterSlantEqual;,⩾̸,22
&NestedGreaterGreater;,≫,22
&CapitalDifferentialD;,ⅅ,22
&NotDoubleVerticalBar;,∦,22
&DoubleLongRightArrow;,⟹,22
&EmptyVerySmallSquare;,▫,22
&NotSquareSubsetEqual;,⋢,22
&ReverseUpEquilibrium;,⥯,22
&NotRightTriangleBar;,⧐̸,21
&DoubleLongLeftArrow;,⟸,21
&NotGreaterFullEqual;,≧̸,21
&SquareSupersetEqual;,⊒,21
&leftrightsquigarrow;,↭,21
&NegativeMediumSpace;,​,21
&LeftArrowRightArrow;,⇆,21
&DownLeftRightVector;,⥐,21
&RightArrowLeftArrow;,⇄,21
&DownRightTeeVector;,⥟,20
&NotLeftTriangleBar;,⧏̸,20
&RightTriangleEqual;,⊵,20
&ReverseEquilibrium;,⇋,20
&RightDownVectorBar;,⥕,20
&RightDownTeeVector;,⥝,20
&RightDoubleBracket;,⟧,20
&PrecedesSlantEqual;,≼,20
&DownRightVectorBar;,⥗,20
&blacktriangleright;,▸,20
&longleftrightarrow;,⟷,20
&SucceedsSlantEqual;,≽,20
&SquareIntersection;,⊓,20
&NegativeThickSpace;,​,20
&Longleftrightarrow;,⟺,20
&LongLeftRightArrow;,⟷,20
&LeftTriangleEqual;,⊴,19
&VerticalSeparator;,❘,19
&twoheadrightarrow;,↠,19
&NotLessSlantEqual;,⩽̸,19
&RightUpDownVector;,⥏,19
&NotReverseElement;,∌,19
&NotNestedLessLess;,⪡̸,19
&blacktriangleleft;,◂,19
&GreaterSlantEqual;,⩾,19
&DownLeftVectorBar;,⥖,19
&NotSquareSuperset;,⊐̸,19
&LeftDoubleBracket;,⟦,19
&LeftDownTeeVector;,⥡,19
&DownLeftTeeVector;,⥞,19
&DoubleUpDownArrow;,⇕,19
&DoubleVerticalBar;,∥,19
&RightAngleBracket;,⟩,19
&leftrightharpoons;,⇋,19
&blacktriangledown;,▾,19
&NotGreaterGreater;,≫̸,19
&rightleftharpoons;,⇌,19
&FilledSmallSquare;,◼,19
&SquareSubsetEqual;,⊑,19
&NegativeThinSpace;,​,19
&LeftDownVectorBar;,⥙,19
&NotTildeFullEqual;,≇,19
&LessEqualGreater;,⋚,18
&twoheadleftarrow;,↞,18
&vartriangleright;,⊳,18
